Название статьи;Тема;Дата
"Как развиваются города";Городское планирование и устойчивое развитие;2023-05-21
"Изучение эффекта присутствия на обучение";Влияние социальной среды на образовательный процесс;2023-05-22
"Как бороться с произволом чиновников";Проблема коррупции в государственной службе и методы ее преодоления;2023-05-20
"Очень скучная статья 1";не важно;2023-05-21
"Очень скучная статья 3";не интересно;2023-05-22
"Очень скучная статья 4"; неинтересная тема;2023-05-21
"Очень скучная статья 2";oh no;2023-05-22
"Очень скучная статья 5"; nadpis ne imeet smisla;2023-05-21
"Очень скучная статья 6"; ага;2023-05-24
"Очень скучная статья 7"; скучно;2023-05-21
"Очень скучная статья 8"; для чего нужен AI;2023-05-22
"Ура каникулы"; нет такой темы;2023-05-25
"Котики"; котики усатые;2023-05-25